5 41 0.15707963267948965579 0.050000000000000002775
0 4 2, NULL, 1 4 2, 0 3 3 [3] 0 5 2 [2], 0 4 0 0 4 3, 2.8970896219970230234 2.9393390552152895978 -3.4989989679931077227 3.9393404507963918348 3.2852110203056636983 -5.5010000228648623378 1.2677686256240174866 0.31066087329613972789 -0.62443927310653091212 -1.26776699154051542 -0.31066018398256878275 -0.62456052433724662532
0 4 3, NULL, 1 4 3, 0 3 2 [2] 0 5 3 [3], 0 4 0 0 4 2, -2.8253437059719290759 3.6904967319230208566 1.5010002439100618154 -2.1746561959568144751 5.3095036302054365862 1.500580937611829313 -1.26776699154051542 -0.31066018398256878275 -0.62456052433724662532 1.2677686256240174866 0.31066087329613972789 -0.62443927310653091212
0 5 0, NULL, 1 5 0, 0 4 0 [0] 0 6 0 [0], 0 5 2 0 5 3, 4.0077069567097023394 3.3604970088328811606 -5.5010000238152905184 2.9393389749318372672 2.8970895511719305659 -3.498999087627369331 -2.1893398303079099066 5.2677670296285246109 1.5005606651157861186 -2.8106603126406017879 3.7322327576496223677 1.5010004378375267908
0 5 2, NULL, 1 5 2, 0 4 2 [2] 0 6 2 [2], 0 5 0 0 5 3, 2.9393389749318372672 2.8970895511719305659 -3.498999087627369331 4.0077069567097023394 3.3604970088328811606 -5.5010000238152905184 1.3095046755598502841 0.32534413117931237913 -0.62441905621709026253 -1.3095047599704130459 -0.3253441462890047653 -0.62458068131797284118
0 5 3, NULL, 1 5 3, 0 4 3 [3] 0 6 3 [3], 0 5 0 0 5 2, -2.8106603126406017879 3.7322327576496223677 1.5010004378375267908 -2.1893398303079099066 5.2677670296285246109 1.5005606651157861186 -1.3095047599704130459 -0.3253441462890047653 -0.62458068131797284118 1.3095046755598502841 0.32534413117931237913 -0.62441905621709026253
0 6 0, NULL, 1 6 0, 0 5 0 [0] 0 7 0 [0], 0 6 2 0 6 3, 4.1005070697395344936 3.4907319844720130497 -5.5010000251387412007 3.007705252379991645 2.8819973889079251172 -3.4989989361921916001 -2.2577061648590777133 5.1518533779715198761 1.500587836882060877 -2.7422937515824985511 3.8481465500917129141 1.5010004966444827623
0 6 2, NULL, 1 6 3, 0 5 2 [2] 0 7 2 [2], 0 6 0 0 6 3, 3.007705252379991645 2.8819973889079251172 -3.4989989361921916001 4.1005070697395344936 3.4907319844720130497 -5.5010000251387412007 1.3114055523618872722 0.25982022986322567126 -0.62435218424867244825 -1.3114055415470575739 -0.25982022327293402553 -0.62464756873487548017
0 6 3, NULL, 1 6 2, 0 5 3 [3] 0 7 3 [3], 0 6 0 0 6 2, -2.7422937515824985511 3.8481465500917129141 1.5010004966444827623 -2.2577061648590777133 5.1518533779715198761 1.500587836882060877 -1.3114055415470575739 -0.25982022327293402553 -0.62464756873487548017 1.3114055523618872722 0.25982022986322567126 -0.62435218424867244825
0 7 0, NULL, 1 7 0, 0 6 0 [0] 0 8 0 [0], 0 7 2 0 7 3, 4.2154556134399090439 3.6727090618287636658 -5.5010000268035588178 3.1005050838315280081 2.8813294149705197533 -3.4989987721602453519 -2.3505062451511822275 4.9227850527748842068 1.5006707168386572703 -2.649494191577749902 4.0772134392557246584 1.5010001420873388955
0 7 2, NULL, 1 7 3, 0 6 2 [2] 0 8 2 [2], 0 7 0 0 7 3, 3.1005050838315280081 2.8813294149705197533 -3.4989987721602453519 4.2154556134399090439 3.6727090618287636658 -5.5010000268035588178 1.3457736921764087423 0.19614634676107456368 -0.50071043636723311377 -1.3457733554366517748 -0.19614649834098535353 -0.50100048295582910729
0 7 3, NULL, 1 7 2, 0 6 3 [3] 0 8 0 [3], 0 7 0 0 7 2, -2.649494191577749902 4.0772134392557246584 1.5010001420873388955 -2.3505062451511822275 4.9227850527748842068 1.5006707168386572703 -1.3457733554366517748 -0.19614649834098535353 -0.50100048295582910729 1.3457736921764087423 0.19614634676107456368 -0.50071043636723311377
0 8 0, NULL, 1 8 0, 0 7 0 [0] 0 7 3 [3] 0 9 0 [0], 0 8 2, 4.3497222917867297553 3.874898822721474012 -5.5010000286392779501 3.2154533892183909671 2.8944341248373945951 -3.4989985594977781603
0 8 2, NULL, 1 8 2, 0 7 2 [2] 0 9 2 [2], 0 8 0, 3.2154533892183909671 2.8944341248373945951 -3.4989985594977781603 4.3497222917867297553 3.874898822721474012 -5.5010000286392779501
0 9 0, NULL, 1 9 0, 0 8 0 [0] 0 10 0 [0], 0 9 2, 4.3497113915362044522 4.0905298085562398213 5.5010095474758164968 3.3497197035450576585 2.9340936191909552377 3.4989982697678674306
0 9 2, NULL, 1 9 2, 0 8 2 [2] 0 10 1 [2], 0 9 0, 3.3497197035450576585 2.9340936191909552377 3.4989982697678674306 4.3497113915362044522 4.0905298085562398213 5.5010095474758164968
0 10 0, NULL, 1 10 0, 0 9 0 [0] 0 11 0 [0], 0 10 1, 4.5787017547086730218 3.8632456332793356779 -5.5010010131414386337 3.3497196610086543699 2.9340927211282052944 -3.4989949334969976392
0 10 1, NULL, 1 10 2, 0 9 2 [2] 0 11 1 [1], 0 10 0, 3.3497196610086543699 2.9340927211282052944 -3.4989949334969976392 4.5787017547086730218 3.8632456332793356779 -5.5010010131414386337
0 11 0, NULL, 1 11 0, 0 10 0 [0] 0 12 0 [0] 0 12 2 [2], 0 11 1, 4.6625904300541840541 3.7695135892466717919 -5.5010010250742347183 3.2154532598272993482 2.8944335131215601641 -3.4989993089966935358
0 11 1, NULL, 1 11 2, 0 10 1 [1] 0 12 1 [1], 0 11 0, 3.2154532598272993482 2.8944335131215601641 -3.4989993089966935358 4.6625904300541840541 3.7695135892466717919 -5.5010010250742347183
0 12 0, NULL, 1 12 0, 0 11 0 [0] 0 13 0 [0], 0 12 1 0 12 2, 4.8334787171609860934 3.7919111889308818597 -5.5010010333781940162 3.1005050360609409665 2.8813290856254059058 -3.4989988181008890856 -2.6494938046900906592 4.9227852179144528932 1.9993289850690949549 -2.3505061719905127049 4.0772150719245976446 1.9989999965994746933
0 12 1, NULL, 1 12 3, 0 11 1 [1] 0 13 1 [1], 0 12 0 0 12 2, 3.1005050360609409665 2.8813290856254059058 -3.4989988181008890856 4.8334787171609860934 3.7919111889308818597 -5.5010010333781940162 1.3457733009883467989 -0.1961465148165652539 -0.50100049358212017659 -1.3457747875856644893 0.19614680821678739941 -0.50070998354368201345
